"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"resource_nums"
"02/16/2016 16:29:37:581 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-500","500","-500","500"
"[run number]","resource_density","patchiness","c1_mult","c2_mult","calc_R","[step]","num-patches-r","count patches with [resource?]"
"353","""sparse""","1","201","201","false","1","44.532888","49"
"352","""sparse""","1","201","201","false","1","44.532888","46"
"354","""sparse""","1","201","201","false","1","44.532888","42"
"355","""sparse""","1","201","201","false","1","44.532888","38"
"356","""sparse""","1","201","201","false","1","44.532888","55"
"357","""sparse""","1","201","201","false","1","44.532888","37"
"358","""sparse""","1","201","201","false","1","44.532888","36"
"359","""sparse""","1","201","201","false","1","44.532888","41"
"360","""sparse""","1","201","201","false","1","44.532888","54"
"362","""sparse""","5","1","1","false","1","44.532888","34"
"366","""sparse""","5","1","1","false","1","44.532888","46"
"365","""sparse""","5","1","1","false","1","44.532888","49"
"361","""sparse""","5","1","1","false","1","44.532888","61"
"364","""sparse""","5","1","1","false","1","44.532888","45"
"367","""sparse""","5","1","1","false","1","44.532888","37"
"363","""sparse""","5","1","1","false","1","44.532888","55"
"368","""sparse""","5","1","1","false","1","44.532888","46"
"369","""sparse""","5","1","1","false","1","44.532888","39"
"370","""sparse""","5","1","1","false","1","44.532888","45"
"371","""sparse""","5","1","41","false","1","44.532888","52"
"374","""sparse""","5","1","41","false","1","44.532888","41"
"373","""sparse""","5","1","41","false","1","44.532888","58"
"376","""sparse""","5","1","41","false","1","44.532888","53"
"372","""sparse""","5","1","41","false","1","44.532888","35"
"375","""sparse""","5","1","41","false","1","44.532888","44"
"377","""sparse""","5","1","41","false","1","44.532888","36"
"378","""sparse""","5","1","41","false","1","44.532888","33"
"379","""sparse""","5","1","41","false","1","44.532888","36"
"380","""sparse""","5","1","41","false","1","44.532888","47"
"381","""sparse""","5","1","81","false","1","44.532888","49"
"382","""sparse""","5","1","81","false","1","44.532888","41"
"383","""sparse""","5","1","81","false","1","44.532888","48"
"384","""sparse""","5","1","81","false","1","44.532888","55"
"385","""sparse""","5","1","81","false","1","44.532888","45"
"386","""sparse""","5","1","81","false","1","44.532888","50"
"388","""sparse""","5","1","81","false","1","44.532888","54"
"387","""sparse""","5","1","81","false","1","44.532888","46"
"390","""sparse""","5","1","81","false","1","44.532888","35"
"389","""sparse""","5","1","81","false","1","44.532888","42"
"391","""sparse""","5","1","121","false","1","44.532888","47"
"392","""sparse""","5","1","121","false","1","44.532888","46"
"393","""sparse""","5","1","121","false","1","44.532888","41"
"394","""sparse""","5","1","121","false","1","44.532888","48"
"395","""sparse""","5","1","121","false","1","44.532888","46"
"396","""sparse""","5","1","121","false","1","44.532888","43"
"397","""sparse""","5","1","121","false","1","44.532888","36"
"398","""sparse""","5","1","121","false","1","44.532888","43"
"401","""sparse""","5","1","161","false","1","44.532888","37"
"399","""sparse""","5","1","121","false","1","44.532888","34"
"402","""sparse""","5","1","161","false","1","44.532888","38"
"403","""sparse""","5","1","161","false","1","44.532888","51"
"404","""sparse""","5","1","161","false","1","44.532888","39"
"400","""sparse""","5","1","121","false","1","44.532888","50"
"405","""sparse""","5","1","161","false","1","44.532888","38"
"406","""sparse""","5","1","161","false","1","44.532888","47"
"407","""sparse""","5","1","161","false","1","44.532888","31"
"409","""sparse""","5","1","161","false","1","44.532888","46"
"410","""sparse""","5","1","161","false","1","44.532888","43"
"413","""sparse""","5","1","201","false","1","44.532888","40"
"411","""sparse""","5","1","201","false","1","44.532888","49"
"408","""sparse""","5","1","161","false","1","44.532888","55"
"412","""sparse""","5","1","201","false","1","44.532888","48"
"414","""sparse""","5","1","201","false","1","44.532888","53"
"415","""sparse""","5","1","201","false","1","44.532888","42"
"416","""sparse""","5","1","201","false","1","44.532888","49"
"417","""sparse""","5","1","201","false","1","44.532888","35"
"418","""sparse""","5","1","201","false","1","44.532888","53"
"419","""sparse""","5","1","201","false","1","44.532888","48"
"420","""sparse""","5","1","201","false","1","44.532888","35"
"422","""sparse""","5","41","1","false","1","44.532888","54"
"421","""sparse""","5","41","1","false","1","44.532888","34"
"423","""sparse""","5","41","1","false","1","44.532888","44"
"424","""sparse""","5","41","1","false","1","44.532888","48"
"425","""sparse""","5","41","1","false","1","44.532888","34"
"426","""sparse""","5","41","1","false","1","44.532888","34"
"427","""sparse""","5","41","1","false","1","44.532888","42"
"429","""sparse""","5","41","1","false","1","44.532888","43"
"428","""sparse""","5","41","1","false","1","44.532888","43"
"430","""sparse""","5","41","1","false","1","44.532888","53"
"431","""sparse""","5","41","41","false","1","44.532888","44"
"432","""sparse""","5","41","41","false","1","44.532888","41"
"433","""sparse""","5","41","41","false","1","44.532888","38"
"434","""sparse""","5","41","41","false","1","44.532888","43"
"435","""sparse""","5","41","41","false","1","44.532888","39"
"436","""sparse""","5","41","41","false","1","44.532888","41"
"437","""sparse""","5","41","41","false","1","44.532888","49"
"439","""sparse""","5","41","41","false","1","44.532888","42"
"440","""sparse""","5","41","41","false","1","44.532888","32"
"438","""sparse""","5","41","41","false","1","44.532888","47"
"441","""sparse""","5","41","81","false","1","44.532888","45"
"442","""sparse""","5","41","81","false","1","44.532888","39"
"443","""sparse""","5","41","81","false","1","44.532888","50"
"444","""sparse""","5","41","81","false","1","44.532888","50"
"446","""sparse""","5","41","81","false","1","44.532888","35"
"447","""sparse""","5","41","81","false","1","44.532888","54"
"450","""sparse""","5","41","81","false","1","44.532888","43"
"449","""sparse""","5","41","81","false","1","44.532888","49"
"445","""sparse""","5","41","81","false","1","44.532888","38"
"451","""sparse""","5","41","121","false","1","44.532888","38"
"448","""sparse""","5","41","81","false","1","44.532888","41"
"452","""sparse""","5","41","121","false","1","44.532888","43"
"453","""sparse""","5","41","121","false","1","44.532888","65"
"454","""sparse""","5","41","121","false","1","44.532888","43"
"455","""sparse""","5","41","121","false","1","44.532888","40"
"456","""sparse""","5","41","121","false","1","44.532888","40"
"458","""sparse""","5","41","121","false","1","44.532888","45"
"457","""sparse""","5","41","121","false","1","44.532888","49"
"459","""sparse""","5","41","121","false","1","44.532888","48"
"460","""sparse""","5","41","121","false","1","44.532888","45"
"461","""sparse""","5","41","161","false","1","44.532888","40"
"462","""sparse""","5","41","161","false","1","44.532888","46"
"463","""sparse""","5","41","161","false","1","44.532888","61"
"464","""sparse""","5","41","161","false","1","44.532888","45"
"465","""sparse""","5","41","161","false","1","44.532888","48"
"466","""sparse""","5","41","161","false","1","44.532888","45"
"467","""sparse""","5","41","161","false","1","44.532888","48"
"468","""sparse""","5","41","161","false","1","44.532888","38"
"469","""sparse""","5","41","161","false","1","44.532888","47"
"470","""sparse""","5","41","161","false","1","44.532888","44"
"471","""sparse""","5","41","201","false","1","44.532888","43"
"472","""sparse""","5","41","201","false","1","44.532888","46"
"473","""sparse""","5","41","201","false","1","44.532888","36"
"474","""sparse""","5","41","201","false","1","44.532888","46"
"476","""sparse""","5","41","201","false","1","44.532888","37"
"475","""sparse""","5","41","201","false","1","44.532888","45"
"477","""sparse""","5","41","201","false","1","44.532888","36"
